"key";"cs";"de";"en";"es";"fa";"fr";"hu";"it";"ja";"nl";"pl";"pt_BR";"ru";"sk";"sv";"sv_FI";"th";"tr";"uk";"zh_Hans"
"Learning Management";"";"Lernmanagement";"Learning Management";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LearningManagement";"";"Lernmanagement";"Learning Management";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_action_open_exam";"";"Prüfung öffnen";"Open exam object";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_action_open_student";"";"Student öffnen";"Open student object";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_action_reload";"";"Neu laden";"Reload";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_action_revoke";"";"Zurücksetzen";"Revoke";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_attempts";"";"Versuche";"Attempts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_bestRatio";"";"Bestes Verhältnis";"Best Ratio";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_bestTime";"";"Beste Zeit";"Best Time";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_examId";"";"Prüfung-ID";"Exam ID";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_examTitle";"";"Titel";"Title";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_lastAttempt";"";"Letzter Versuch";"Last Attempt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_latestGrade";"";"Letzte Note";"Latest Grade";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"plugin_pimcore_learning_management_framework_column_passed";"";"Bestanden";"Passed";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
